"STATDISPID","statcode","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003398557","00020151","表16　現在の就労先","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","３　現在の就労状況","-","201004-201103","2020-01-24"
"0003398558","00020151","表17　仕事に就いていない理由（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","３　現在の就労状況","-","201004-201103","2020-01-24"
"0003375600","00020151","表22　再任用を希望した結果（男女別）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003375601","00020151","表22　再任用を希望した結果（組織別）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003375602","00020151","表23　再任用の雇用期間（男女別）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003375603","00020151","表23　再任用の雇用期間（組織別）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003375605","00020151","表25　短時間勤務者の１週間当たりの平均勤務日数・平均勤務時間（週平均勤務時間）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003375606","00020151","表25　短時間勤務者の１週間当たりの平均勤務日数・平均勤務時間（週平均勤務日数）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003375615","00020151","再任用を希望したが、その後辞退した理由・再任用を希望しなかった理由","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398559","00020151","表18　退職前の再任用希望調査の実施状況","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398560","00020151","表19　再任用希望調査での希望の状況","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398561","00020151","表21　再任用職員として働きたいと思った理由（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398562","00020151","表28　再任用に際し重視した事項（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398563","00020151","表29　再任用についての満足度","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398565","00020151","表31　再任用後の通勤時間","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398566","00020151","表32　再任用後の仕事内容","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398567","00020151","表33　再任用後のポスト","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398568","00020151","表34　再任用後の仕事内容・ポストにおける知識、経験の活用","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003398569","00020151","表35　再任用されなかった理由","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003404633","00020151","表30　再任用後の官署","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","４　再任用","-","201004-201103","2020-01-24"
"0003375617","00020151","表40　短時間勤務者の１週間当たりの平均勤務日数・平均勤務時間（平均勤務日数ー民間企業等）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","５　民間企業等への再就職","-","201004-201103","2020-01-24"
"0003375618","00020151","表40　短時間勤務者の１週間当たりの平均勤務日数・平均勤務時間（平均勤務時間ー民間企業等）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","５　民間企業等への再就職","-","201004-201103","2020-01-24"
"0003398570","00020151","表38　現在の職種","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","５　民間企業等への再就職","-","201004-201103","2020-01-24"
"0003398571","00020151","表41　現在の仕事を探した方法","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","５　民間企業等への再就職","-","201004-201103","2020-01-24"
"0003375625","00020151","表47　就労状況別世帯の平均収入月額","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003375627","00020151","表49　就労状況別世帯の平均支出月額","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003375628","00020151","表50　就労状況別世帯の家計の状況","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003375629","00020151","表51　就労状況別赤字が出る場合の対応（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003375671","00020151","表48　就労状況別本人の収入月額の金額階層別分布","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003375672","00020151","表52　就労状況別夫婦２人世帯の場合に必要と考えられる１ヶ月当たりの生活費","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003398572","00020151","表42　住居の種類","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003398573","00020151","表43　家賃又はローン返済額の月額","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003398574","00020151","表44　家族構成","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003398575","00020151","表45　家族の人数","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003398576","00020151","表46　扶養している家族の人数","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","６　家計等の状況","-","201004-201103","2020-01-24"
"0003375632","00020151","表54　退職共済年金額及び退職手当額についての満足度","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","７　共済年金及び退職手当","-","201004-201103","2020-01-24"
"0003375633","00020151","表55　就労状況別退職手当の使用予定（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","７　共済年金及び退職手当","-","201004-201103","2020-01-24"
"0003378198","00020151","表53　就労状況別退職共済年金額（月額）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","７　共済年金及び退職手当","-","201004-201103","2020-01-24"
"0003375634","00020151","表56　就労状況別今後の生活について不安に思うこと（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","８　その他","-","201004-201103","2020-01-24"
"0003398577","00020151","表57　退職前にもっと知っておけば良かったと思うこと（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","８　その他","-","201004-201103","2020-01-24"
"0003398578","00020151","表58　公務に適切と思われる今後の高齢者雇用制度","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","８　その他","-","201004-201103","2020-01-24"
"0003398579","00020151","表59　「定年年齢の引上げ」が適切と考える理由（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","８　その他","-","201004-201103","2020-01-24"
"0003398580","00020151","表60　「再任用で希望者全員を雇用」が適切と考える理由（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","８　その他","-","201004-201103","2020-01-24"
"0003398581","00020151","表61　「現行の再任用制度」が適切と考える理由（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","８　その他","-","201004-201103","2020-01-24"
"0003398582","00020151","表62　「定年制の廃止」が適切と考える理由（複数回答）","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","８　その他","-","201004-201103","2020-01-24"
"0003398583","00020151","表１　性別","退職公務員生活状況調査","統計表","１　基本的事項",NA,"-","201404-201503","2020-01-24"
"0003398584","00020151","表２　誕生月","退職公務員生活状況調査","統計表","１　基本的事項",NA,"-","201404-201503","2020-01-24"
"0003398585","00020151","表３　現在の居住地","退職公務員生活状況調査","統計表","１　基本的事項",NA,"-","201404-201503","2020-01-24"
"0003398586","00020151","表４　退職時における給与制度の適用区分","退職公務員生活状況調査","統計表","１　基本的事項",NA,"-","201404-201503","2020-01-24"
"0003398587","00020151","表４-2　退職時の所属府省等","退職公務員生活状況調査","統計表","１　基本的事項",NA,"-","201404-201503","2020-01-24"
"0003398588","00020151","表７　勤続年数","退職公務員生活状況調査","統計表","１　基本的事項",NA,"-","201404-201503","2020-01-24"
"0003375692","00020151","再任用を希望しなかった理由・再任用を希望したが、その後辞退した理由","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003375693","00020151","定年退職後の無収入期間が1年～2年であったとした場合の再任用の希望状況","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398589","00020151","表８-1　退職時の就労希望の有無（男女別）","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398590","00020151","表８-2　退職時の就労希望の有無（誕生月別）","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398591","00020151","表９　退職後も働きたいと思った理由（複数回答）","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398592","00020151","表10　働きたいと思った勤務形態","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398593","00020151","表11　働きたいと思った年齢","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398594","00020151","表12　もっとも働きたいと思った就労先","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398595","00020151","表13　再任用職員として働きたいと思った理由（複数回答）","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398596","00020151","表14　再任用の希望に際し重視した事項（複数回答）","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398597","00020151","表15-1　再任用希望調査での希望の状況（男女別）","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003398598","00020151","表15-2　再任用希望調査での希望の状況（誕生月別）","退職公務員生活状況調査","統計表","２　退職時の就労希望の状況",NA,"-","201404-201503","2020-01-24"
"0003375697","00020151","現在の勤務形態","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003375836","00020151","表22　短時間勤務者の1週間当たりの平均勤務日数・平均勤務時間（週平均勤務日数）","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003375837","00020151","表22　短時間勤務者の1週間当たりの平均勤務日数・平均勤務時間（週平均勤務時間）","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003398599","00020151","表18　現在の就労の有無","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003398600","00020151","表19　仕事に就いていない理由（複数回答）","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003398601","00020151","表20　現在の就労先","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003398602","00020151","表23　短時間勤務となった主な事情","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003398603","00020151","表24　通勤時間","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003398604","00020151","表25　仕事内容","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003398605","00020151","表26　仕事内容・ポストにおける知識、経験の活用","退職公務員生活状況調査","統計表","３　現在の就労状況",NA,"-","201404-201503","2020-01-24"
"0003375709","00020151","表30　再任用についての満足度","退職公務員生活状況調査","統計表","４　再任用",NA,"-","201404-201503","2020-01-24"
"0003378196","00020151","表27　再任用の任期（給与制度の区分別）","退職公務員生活状況調査","統計表","４　再任用",NA,"-","201404-201503","2020-01-24"
"0003378197","00020151","表27　再任用の任期（勤務時間別）","退職公務員生活状況調査","統計表","４　再任用",NA,"-","201404-201503","2020-01-24"
"0003398606","00020151","表28　再任用後の官署","退職公務員生活状況調査","統計表","４　再任用",NA,"-","201404-201503","2020-01-24"
"0003398607","00020151","表29-1　再任用後のポスト","退職公務員生活状況調査","統計表","４　再任用",NA,"-","201404-201503","2020-01-24"
"0003398608","00020151","表29-2　再任用後の仕事内容","退職公務員生活状況調査","統計表","４　再任用",NA,"-","201404-201503","2020-01-24"
"0003398609","00020151","表31　再任用という働き方の課題や問題点（複数回答）","退職公務員生活状況調査","統計表","４　再任用",NA,"-","201404-201503","2020-01-24"
"0003398610","00020151","表34　現在の職種","退職公務員生活状況調査","統計表","５　民間企業等での就労状況",NA,"-","201404-201503","2020-01-24"
"0003398611","00020151","表35　現在の仕事を探した方法","退職公務員生活状況調査","統計表","５　民間企業等での就労状況",NA,"-","201404-201503","2020-01-24"
"0003375716","00020151","就労状況別世帯の平均収入月額","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003375717","00020151","就労状況別本人の収入月額の金額階層別分布","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003375718","00020151","表41　就労状況別世帯の平均支出月額","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003375720","00020151","表42-2　家賃又はローン返済の平均月額","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003375721","00020151","表43　就労状況別世帯の家計の状況","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003375722","00020151","表44　就労状況別赤字が出る場合の対応（複数回答）","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003375723","00020151","表45　就労状況別夫婦２人世帯で、ゆとりある生活を送るために必要と考える１ヶ月当たりの生活費","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003398612","00020151","表36　家族構成","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003398613","00020151","表37　家族の人数","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003398614","00020151","表38　扶養している家族の人数","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003398615","00020151","表42　住居の種類","退職公務員生活状況調査","統計表","６　家族、家計等の状況",NA,"-","201404-201503","2020-01-24"
"0003375724","00020151","表46　就労状況別退職手当の使用予定（複数回答）","退職公務員生活状況調査","統計表","７　退職手当",NA,"-","201404-201503","2020-01-24"
"0003375725","00020151","表47　退職後の生活や生涯設計について考えるようになった時期","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003375726","00020151","表48　退職後の生活や生涯設計について考えるようになったきっかけ","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003375727","00020151","表49　退職共済年金（報酬比例部分）の支給開始年齢を知った時期","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003375728","00020151","表50　就労状況別今後の生活について不安に思うこと（複数回答）","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003375729","00020151","表51　退職前にもっと知っておけば良かったと思うこと（複数回答）","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003385965","00020151","表52　公務に適切と思われる今後の高齢者雇用制度","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003398616","00020151","表53　「現行の再任用制度で希望者全員を雇用」が適切と考える理由（複数回答）","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003398617","00020151","表54　「定年年齢の引上げ」が適切と考える理由（複数回答）","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003398618","00020151","表55　「定年制の廃止」が適切と考える理由（複数回答）","退職公務員生活状況調査","統計表","８　その他",NA,"-","201404-201503","2020-01-24"
"0003398619","00020151","第１表　性別","平成２９年度 退職公務員生活状況調査","統計表","基本的事項","第１表　性別","-","201704-201803","2020-01-24"
"0003398620","00020151","第２表　現在の居住地","平成２９年度 退職公務員生活状況調査","統計表","基本的事項","第２表　現在の居住地","-","201704-201803","2020-01-24"
"0003398621","00020151","第３表　定年退職時における給与制度の適用区分","平成２９年度 退職公務員生活状況調査","統計表","基本的事項","第３表　定年退職時における給与制度の適用区分","-","201704-201803","2020-01-24"
"0003398622","00020151","第６表　定年退職時までの国家公務員としての勤続年数","平成２９年度 退職公務員生活状況調査","統計表","基本的事項","第６表　定年退職時までの国家公務員としての勤続年数","-","201704-201803","2020-01-24"
"0003398623","00020151","第７表　定年退職時の就労希望の有無","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第７表　定年退職時の就労希望の有無","-","201704-201803","2020-01-24"
"0003398624","00020151","第８表　定年退職後も働きたいと思った理由（複数回答）","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第８表　定年退職後も働きたいと思った理由（複数回答）","-","201704-201803","2020-01-24"
"0003398625","00020151","第９表　働きたいと思った勤務形態","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第９表　働きたいと思った勤務形態","-","201704-201803","2020-01-24"
"0003398626","00020151","第10表　定年退職時に働き続けたいと思った年齢","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第10表　定年退職時に働き続けたいと思った年齢","-","201704-201803","2020-01-24"
"0003398627","00020151","第11表　定年退職後に最も働きたいと思った就労先","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第11表　定年退職後に最も働きたいと思った就労先","-","201704-201803","2020-01-24"
"0003398628","00020151","第12表　再任用職員として働きたいと思った理由（複数回答）","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第12表　再任用職員として働きたいと思った理由（複数回答）","-","201704-201803","2020-01-24"
"0003398629","00020151","第13表　再任用の希望に際し重視した事項（複数回答）","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第13表　再任用の希望に際し重視した事項（複数回答）","-","201704-201803","2020-01-24"
"0003398630","00020151","第14表　再任用希望調査での希望の状況","平成２９年度 退職公務員生活状況調査","統計表","定年退職時の就労希望の状況","第14表　再任用希望調査での希望の状況","-","201704-201803","2020-01-24"
"0003398631","00020151","第16表　現在の就労の有無","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第16表　現在の就労の有無","-","201704-201803","2020-01-24"
"0003398632","00020151","第17表　仕事に就いていない理由（複数回答）","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第17表　仕事に就いていない理由（複数回答）","-","201704-201803","2020-01-24"
"0003398633","00020151","第18表　現在の就労先","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第18表　現在の就労先","-","201704-201803","2020-01-24"
"0003375756","00020151","第19表　現在の勤務形態（男女別）","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第19表　現在の勤務形態","-","201704-201803","2020-01-24"
"0003375757","00020151","第19表　現在の勤務形態（国の機関・民間企業等別）","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第19表　現在の勤務形態","-","201704-201803","2020-01-24"
"0003375850","00020151","第20表　短時間勤務者の１週間当たりの平均勤務日数（男女別）","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第20表　短時間勤務者の１週間当たりの平均勤務日数","-","201704-201803","2020-01-24"
"0003375851","00020151","第20表　短時間勤務者の１週間当たりの平均勤務日数（国の機関・民間企業等別）","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第20表　短時間勤務者の１週間当たりの平均勤務日数","-","201704-201803","2020-01-24"
"0003375852","00020151","第21表　短時間勤務者の１週間当たりの平均勤務時間（男女別）","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第21表　短時間勤務者の１週間当たりの平均勤務時間","-","201704-201803","2020-01-24"
"0003375853","00020151","第21表　短時間勤務者の１週間当たりの平均勤務時間（国の機関・民間企業等別）","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第21表　短時間勤務者の１週間当たりの平均勤務時間","-","201704-201803","2020-01-24"
"0003398634","00020151","第22表　短時間勤務となった主な事情","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第22表　短時間勤務となった主な事情","-","201704-201803","2020-01-24"
"0003398635","00020151","第23表　通勤時間","平成２９年度 退職公務員生活状況調査","統計表","現在の就労状況","第23表　通勤時間","-","201704-201803","2020-01-24"
"0003398636","00020151","第24表　再任用後の官署","平成２９年度 退職公務員生活状況調査","統計表","再任用職員の就労状況","第24表　再任用後の官署","-","201704-201803","2020-01-24"
"0003398637","00020151","第25表　再任用に伴う転居の状況","平成２９年度 退職公務員生活状況調査","統計表","再任用職員の就労状況","第25表　再任用に伴う転居の状況","-","201704-201803","2020-01-24"
"0003398638","00020151","第26表　再任用後の単身赴任手当受給の有無","平成２９年度 退職公務員生活状況調査","統計表","再任用職員の就労状況","第26表　再任用後の単身赴任手当受給の有無","-","201704-201803","2020-01-24"
"0003398639","00020151","第27表　仕事内容・ポストにおける知識・経験の活用","平成２９年度 退職公務員生活状況調査","統計表","再任用職員の就労状況","第27表　仕事内容・ポストにおける知識・経験の活用","-","201704-201803","2020-01-24"
"0003375768","00020151","第28表　再任用についての満足度","平成２９年度 退職公務員生活状況調査","統計表","再任用職員の就労状況","第28表　再任用についての満足度","-","201704-201803","2020-01-24"
"0003398640","00020151","第29表　再任用という働き方の課題や問題点（複数回答）","平成２９年度 退職公務員生活状況調査","統計表","再任用職員の就労状況","第29表　再任用という働き方の課題や問題点（複数回答）","-","201704-201803","2020-01-24"
"0003398641","00020151","第32表　給与法適用職員の再任用後のポスト","平成２９年度 退職公務員生活状況調査","統計表","再任用職員の就労状況","第32表　給与法適用職員の再任用後のポスト","-","201704-201803","2020-01-24"
"0003398642","00020151","第33表　現在の職種","平成２９年度 退職公務員生活状況調査","統計表","民間企業等での就労状況","第33表　現在の職種","-","201704-201803","2020-01-24"
"0003398643","00020151","第34表　現在の仕事を探した方法","平成２９年度 退職公務員生活状況調査","統計表","民間企業等での就労状況","第34表　現在の仕事を探した方法","-","201704-201803","2020-01-24"
"0003398644","00020151","第35表　家族構成","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第35表　家族構成","-","201704-201803","2020-01-24"
"0003398645","00020151","第36表　家族の人数","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第36表　家族の人数","-","201704-201803","2020-01-24"
"0003398646","00020151","第37表　扶養している家族の人数","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第37表　扶養している家族の人数","-","201704-201803","2020-01-24"
"0003375854","00020151","第38表　世帯の平均収入月額（就労状況・勤務形態別）","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第38表　世帯の平均収入月額","-","201704-201803","2020-01-24"
"0003375855","00020151","第38表　世帯の平均収入月額（男女別）","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第38表　世帯の平均収入月額","-","201704-201803","2020-01-24"
"0003375778","00020151","第39表　本人の収入月額の金額階層（男女別）","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第39表　本人の収入月額の金額階層","-","201704-201803","2020-01-24"
"0003375779","00020151","第39表　本人の収入月額の金額階層（就労状況・勤務形態別）","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第39表　本人の収入月額の金額階層","-","201704-201803","2020-01-24"
"0003375780","00020151","第40表　世帯の平均支出月額（男女別）","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第40表　世帯の平均支出月額","-","201704-201803","2020-01-24"
"0003375781","00020151","第40表　世帯の平均支出月額（就労状況別）","平成２９年度 退職公務員生活状況調査","統計表","家族、家計等の状況","第40表　世帯の平均支出月額","-","201704-201803","2020-01-24"
