"STATDISPID","statcode","TITLE","TITLE.@no","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003281534","00130002","交通事故の発生状況 高速道路における事故類型別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281535","00130002","交通事故の発生状況 高速道路における当事車種別（第1当事者）別交通事故件数の推移　(2005年～2007年)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003283047","00130002","交通事故の発生状況 交通事故の発生状況",NA,"交通事故の発生状況","年次",0,"2020-10-05"
"0003283048","00130002","交通事故の発生状況 当事車種別（第1当事者）別交通事故件数の推移　(2008年～2016年)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003283049","00130002","交通事故の発生状況 当事車種別（第1当事者）別交通事故件数の推移　(2017年)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003283050","00130002","交通事故の発生状況 高速道路における当事車種別（第1当事者）別交通事故件数の推移　(2008年～2016年)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003283051","00130002","交通事故の発生状況 高速道路における当事車種別（第1当事者）別交通事故件数の推移　(2017年)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003287753","00130002","交通事故の発生状況 状態別死傷者数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-05"
"0003287809","00130002","交通事故の発生状況 高速道路における供用延長100km当たり法令違反別（第1当事者）交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003287810","00130002","交通事故の発生状況 高速道路における法令違反別（第1当事者）交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003317642","00130002","交通事故の発生状況 地形別・道路形状別交通事故件数の推移",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003317643","00130002","交通事故の発生状況 事故類型別・道路形状別交通事故件数",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003389132","00130002","交通事故の発生状況 高速道路における供用延長100km当たり法令違反別（第1当事者）交通事故件数の推移(2018年～)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003389133","00130002","交通事故の発生状況 高速道路における法令違反別（第1当事者）交通事故件数の推移(2018年～)",NA,"交通事故の発生状況","年次",0,"2020-10-06"
"0003281493","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 交通事故発生状況の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281494","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 年齢層別人口10万人当たり死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281495","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 年齢層別死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281496","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 状態別死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281497","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 年齢層別・状態別人口10万人当たり死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281498","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 年齢層別・状態別死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281499","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 歩行中（第1・第2当事者）の法令違反別人口10万人当たり死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281540","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 歩行中（第1・第2当事者）の法令違反別死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281541","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 自転車乗用中（第1・第2当事者）の法令違反別人口10万人当たり死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281542","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 自転車乗用中（第1・第2当事者）の法令違反別死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281543","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 昼夜別・年齢層別・状態別人口10万人当たり死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281544","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 昼夜別・年齢層別・状態別死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281545","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の年齢層別免許保有者10万人当たり死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281546","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第１当事者）の年齢層別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281547","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の法令違反別死亡事故件数の推移　(2005年-2016年)",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281548","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の法令違反別・年齢層別免許保有者10万人当たり死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281549","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の法令違反別・年齢層別死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281550","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第１当事者）の飲酒別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281551","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の危険認知速度別・年齢層別免許保有者10万人当たり死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281552","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の年齢層別・危険認知速度別死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281553","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 事故類型別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281554","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の事故類型別・年齢層別免許保有者10万人当たり死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281555","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の事故類型別・年齢層別死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281556","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の事故類型別・法令違反別死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281559","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 自転車（第1・第2当事者）の事故類型別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281560","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 自転車（第1・第2当事者）の法令違反別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281561","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 自転車（第1・第2当事者）の相手当事者別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281562","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 当事者種別（第1当事者）別死亡事故件数の推移　(2005年-2007年)",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281564","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 危険運転致死傷罪等の適用件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281565","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における供用延長100km当たり死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281566","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281568","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における当事者種別（第1当事者）別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281569","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における事故類型別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281570","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における道路交通法違反取締り状況",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281571","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 都道府県別・人口10万人当たり発生件数、死者数、負傷者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281572","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 都道府県別・高齢者・高齢者以外別の人口10万人当たり死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281573","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高齢者の人口、運転免許保有数及び死者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281574","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 自動車乗車中におけるシートベルト着用状況別死者数・死傷者数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003281575","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 月別死者数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283052","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 原付以上運転者（第1当事者）の法令違反別死亡事故件数の推移　(2007年-2017年)",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283053","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 当事者種別（第1当事者）別死亡事故件数の推移　(2008年-2016年)",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283054","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 当事者種別（第1当事者）別死亡事故件数の推移　(2017年)",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283055","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 暴走族等の実態及び検挙状況",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-05"
"0003283057","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における供用100km当たり事故類型別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283058","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における当事者種別（第１当事者）別死亡交通事故件数の推移（各年12月末）　（2007年）",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283059","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における当事者種別（第１当事者）別死亡交通事故件数の推移（各年12月末）　（2017年）",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283593","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における当事者種別（第１当事者）別死亡交通事故件数の推移（各年12月末）　（2008年-2016年）",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003287811","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における供用延長100km当たり法令違反別（第１当事者）死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003287812","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における法令違反別（第1当事者）死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003317644","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 地形別・道路形状別死亡事故件数の推移",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003317645","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 事故類型別・道路形状別死亡事故件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003317646","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 道路交通法違反の取締り状況　告知・送致件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003317647","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 道路交通法違反の取締り状況　行政処分の点数告知件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003317648","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 道路交通法違反の取締り状況　放置違反金納付命令件数",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003389112","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における供用延長100km当たり法令違反別（第１当事者）死亡事故件数の推移(2018年～)",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003389113","00130002","交通死亡事故の発生状況及び道路交通法違反取締り状況について 高速道路における法令違反別（第1当事者）死亡事故件数の推移(2018年～)",NA,"交通死亡事故の発生状況及び道路交通法違反取締り状況等について","年次",0,"2020-10-06"
"0003283341","00130002","30日以内交通事故死者の状況 30日以内死者数等の推移","1","３０日以内交通事故死者の状況について","年次",0,"2020-10-05"
"0003287760","00130002","30日以内交通事故死者の状況 状態別死者数の欧米諸国との比較","10","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281586","00130002","30日以内交通事故死者の状況 都道府県別30日以内交通事故死者数","11","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281577","00130002","30日以内交通事故死者の状況 年齢層別人口10万人当たり死者数の推移（30日以内、24時間、30日）","2","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281578","00130002","30日以内交通事故死者の状況 年齢層別30日以内死者数の推移（30日以内、24時間、30日）","3","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281579","00130002","30日以内交通事故死者の状況 状態別30日以内死者数の推移（各年12月末）","4","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281580","00130002","30日以内交通事故死者の状況 損傷部位別・状態別30日以内死者数","5","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281581","00130002","30日以内交通事故死者の状況 人口10万人当たり死者数の欧米諸国との比較（各年12月末）","6","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281582","00130002","30日以内交通事故死者の状況 30日以内死者数の欧米諸国との比較（各年12月末）","7","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281583","00130002","30日以内交通事故死者の状況 年齢層別30日以内死者数の欧米諸国との比較（各年12月末）","8","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003281584","00130002","30日以内交通事故死者の状況 状態別30日以内死者数の欧米諸国との比較（各年12月末）","9","３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003389134","00130002","30日以内交通事故死者の状況 30日以内交通事故死者の状況",NA,"３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
"0003389135","00130002","30日以内交通事故死者の状況 交通事故発生から死亡までの経過日数",NA,"３０日以内交通事故死者の状況について","年次",0,"2020-10-06"
